Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Suchmeldung;Einzelobjekt;277570;"Unbekannt [Künstler:in]";Bettlergruppen;;Malerei;"Handschriftliches Verzeichnis Nr. 91";"Kopie nach Jan MielDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277570;
Suchmeldung;Einzelobjekt;276956;"Unbekannt [Künstler:in]";"Bildnis des Prinzen Friedrich Carl";;Malerei;"Handschriftliches Verzeichnis Nr. 202";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/276956;
Suchmeldung;Einzelobjekt;276995;"Dietrich, Christian Wilhelm Ernst [Künstler:in]";"Schafe in römischer Landschaft";;Malerei;"Handschriftliches Verzeichnis Nr. 158";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/276995;
Suchmeldung;Einzelobjekt;277516;"Unbekannt [Künstler:in]";"Bildnis der Maria Angelica Kauffmann";;Malerei;"Handschriftliches Verzeichnis Nr. 629";"nach einem Selbstbildnis der Angelica KauffmannDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277516;
Suchmeldung;Einzelobjekt;277523;"Unbekannt [Künstler:in]";"Bildnis des Anthonis van Dyck";;Malerei;"Handschriftliches Verzeichnis Nr. 635";"MedaillonDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277523;
Suchmeldung;Einzelobjekt;277015;"Unbekannt [Künstler:in]";"Büßende Magdalena";;Malerei;"Handschriftliches Verzeichnis Nr. 177";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277015;
Suchmeldung;Einzelobjekt;277507;;"Angebundener Märtyrer";;Malerei;"Handschriftliches Verzeichnis Nr. 62";"Kopie, ev. der heilige Sebastian, 1890 als mangelhafte Kopie bezeichnetDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277507;
Suchmeldung;Einzelobjekt;277010;;Reiterei;;Malerei;"Handschriftliches Verzeichnis Nr. 171";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277010;
Suchmeldung;Einzelobjekt;276900;"Eckenbrecher, Themistocles von [Künstler:in]";"Norwegischer Wasserfall";"1888 [Datierung]";Malerei;"Handschriftliches Verzeichnis Nr. 651";"bezeichnet: T. v. Eckenbrecher 88Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"am 23.07.1894 erworben auf der Rostocker Kunstausstellung durch den Bürgermeister Hofrat Dr. Brückner";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/276900;
Suchmeldung;Einzelobjekt;277475;"Unbekannt [Künstler:in]";"Vulcan und Venus";;Malerei;"Handschriftliches Verzeichnis Nr. 591";"Venus mit den Attributen des CeresDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277475;
Suchmeldung;Einzelobjekt;277504;"Unbekannt [Künstler:in]";"Knabe Federball spielend";"1785/1800 [Datierung]";Malerei;"Handschriftliches Verzeichnis Nr. 617";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277504;
Suchmeldung;Einzelobjekt;277539;"Unbekannt [Künstler:in]";Bettelknabe;;Malerei;"Handschriftliches Verzeichnis Nr. 65";"Kopie nach Bartolomé Esteban Murillo; kleines FormatDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277539;
Suchmeldung;Einzelobjekt;277185;"Unbekannt [Künstler:in]";Hirtenlandschaft;;Malerei;"Handschriftliches Verzeichnis Nr. 325";"Kopie nach Johann Heinrich Roos; Gegenbild zu Verz. Nr. 326Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277185;
Suchmeldung;Einzelobjekt;277091;"Unbekannt [Künstler:in]";Landschaft;;Malerei;"Handschriftliches Verzeichnis Nr. 244";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277091;
Suchmeldung;Einzelobjekt;277443;"Unbekannt [Künstler:in]";"Dianenbad bei Sorrent";;Malerei;"Handschriftliches Verzeichnis Nr. 562";"Kopie nach Rudolf SchickDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/277443;
Suchmeldung;Einzelobjekt;276988;"Stoll, Heinrich [Künstler:in]";"Titusbogen in Rom";;Malerei;"Handschriftliches Verzeichnis Nr. 151";"Die in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2003-04-04;"Kunstsammlung Neubrandenburg17033 Neubrandenburg(0395) 5551290(0395) 5551299kunstsammlung@neubrandenburg.dehttp://www.kunstsammlung-neubrandenburg.deFrau Dr. Elke Pretzel (wiss. Mitarbeiterin)(0395) 5551292Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/276988;
