Meldungsart;Datensatzart;"Lost Art ID";Hersteller/Künstler/Autor:in;Titel;Datierung;Objektart;Inventarnummer/Signatur;Beschreibung;Provenienz;"Veröffentlicht seit";Kontakt;Link;"Literatur / Quelle"
Fundmeldung;Einzelobjekt;596212;"Benoît, Pierre [Autor:in]
Michel [Verlag]";"Pour Don Carlos : Roman";"1920 [Erscheinungsdatum]";Buch;"Xy 19684";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Vorbesitz: Benoît, Pierre *1886-1962* | Exemplar: Donator | Widmung: Autor | Autogramm | Erläuterung: Handschriftliche Widmung auf dem Vortitelblatt: a Andre Maurois tres amicalement Pierre BenoitVorbesitz: Maurois, André *1885-1967* | Exemplar: WidmungsempfängerZugang: Öffentliche Wissenschaftliche Bibliothek | Zugangsnummer AB 1810 | NS-Raubgut | Datum 1950-05-10 | Erläuterung: Herkunft laut Akzessionsjournal: So [Sonderaktion]";2021-07-26;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/596212;
Fundmeldung;Einzelobjekt;532468;"Hannover, Nathan Nata [Autor:in]
Benjamin, Israel Josef [Herausgeber]
Selbstverl. des Hrsg. [Verlag]";"Jawen Mezula : Schilderung des polnisch-kosakischen Krieges und der Leiden der Juden in Polen während der Jahre 1648 - 1653; Bericht eines Zeitgenossen";"1863 [Erscheinungsdatum]";Buch;"A 49/326, 2.Aufl.";"Weitere Informationen im Online-Katalog des Bibliothekssystems der Justus-Liebig-Universität Gießen: Externer Link";"Reichsinstitut für Geschichte des neuen Deutschlands. BibliothekDeutschland (Gebiet unter Alliierter Besatzung, Amerikanische Zone). Amt der Militärregierung für Hessen. Offenbach Archival DepotStempelSignaturDatum 1949Datum 1950Datum 1954NS-Raubgut";2016-02-05;"Universitätsbibliothek Gießen
Otto-Behagel-Str. 8
35394 Gießen
+49 (0)641 99-14032
+49 (0)641 99-14039
auskunft@bibsys.uni-giessen.de
http://www.ub.uni-giessen.de
Dr. Olaf Schneider (Bibliotheksoberrat)
+49 (0)641/99-14052
Olaf.Schneider@bibsys.uni-giessen.de";https://www.lostart.de/de/Fund/532468;
Fundmeldung;Einzelobjekt;479594;"Auge, Lothar [Autor:in]
Mutze [Verlag]";"Was für schlechte Menschen! : Politische Satyre";"1885 [Erscheinungsdatum]";Buch;"Yp 5005-187";"Weitere Informationen im Online-Katalog der Staatsbibliothek zu Berlin: Externer Link";"Verdacht auf NS-Raubgut. Quelle: Akzessionsjournal der Preußischen Staatsbibliothek D 1939.1 ""Gesellschaft f. deutsche Literatur Bln."", inventarisiert als Donum 1939-04-01Provenienz: Gesellschaft für Deutsche LiteraturProvenienz: Gesellschaft für Deutsche Literatur, Bibliothek Deutscher Privat- und ManuskriptdruckeProvenienz: Preußische Staatsbibliothek <Berlin> / Zugang / Datum 1939-04-01 / Zugangsnummer D 1939.1 / NS-RaubgutProvenienz: Preußische Staatsbibliothek <Berlin> / Etikett / Zugangsnummer D 1939.1,187Gesellschaft für Deutsche Literatur Preußische Staatsbibliothek <Berlin> NS-Raubgut";2014-02-19;"Unter den Linden 8
10117 Berlin
+49 (0) 30 266 - 0
+49 (0) 30 266 331301 
https://staatsbibliothek-berlin.de/
Dr. Petra-Regine Dehnel (Wiss. Mitarbeiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436659
petra-regine.dehnel@sbb.spk-berlin.de
Heike Pudler (Referatsleiterin in der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436650
heike.pudler@sbb.spk-berlin.de
Michaela Scheibe (Stellv. Leiterin der Abteilung Handschriften und Historische Drucke)
+49 (0) 30 266 - 436551
michaela.scheibe@sbb.spk-berlin.de";https://www.lostart.de/de/Fund/479594;
Suchmeldung;Einzelobjekt;295839;"Unbekannt (Ukrainisch) [Künstler:in]";"Mutter Gottes";"1801/1815 [Datierung]";Malerei;227-XIM;Ikone;;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)
61002 Kharkiv Oblast
+38 (256) 706-33-95 
artmuseum_kharkiv@i.ua
http://artmuseum.kh.ua/
Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))
+38 (057) 706 33 95
artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/295839;
Suchmeldung;Einzelobjekt;209503;"Porzellanmanufaktur Gotha (Deutsch (Gotha)) [Manufaktur]";Teedose;;Gefäß;"Ahv 697";"Dekor hellblau, mit Vergoldung und Blumen auf weißem Grund.";"Erworben im April 1883.";2001-08-08;"Stiftung Schloss Friedenstein 
Gotha
Schlossplatz 1
99867 Gotha
0049 (0) 03621 8234-0
0049 (0) 03621 8234-290
http://www.stiftungfriedenstein.de
Dr. Tobias Pfeifer-Helke (Stiftungsdirektor)
+49 (0) 621-8234 100
vorstand@stiftung-friedenstein.de
Dr. Timo Trümper (Kustode für Gemälde und Plastik)
+49 (0) 3621 8234 553
truemper@stiftung-friedenstein.de
Ronny Licht (Provenienzforscher)
+49 (0) 3621-82 34 329
ronny.licht@friedenstein-stiftung.de";https://www.lostart.de/de/Verlust/209503;"Aldenhoven Ton und Glas, II, Nr. 697"
Suchmeldung;Einzelobjekt;201631;"Unbekannt [Künstler:in]";"Bildnis eines Fürsten von Anhalt-Zerbst in Harnisch";"1601/1700 [Datierung]";Malerei;"Inv.-Nr. JESt: 1907";;;2001-08-08;"Kulturstiftung Dessau Wörlitz
Hauptverwaltung
Schloss Großkühnau
06846 Dessau-Roßlau
+49 (0)340 646 15 0
+49 (0)340 646 15 10
http://www.gartenreich.com
Dr. Anette Froesch (Leiterin Abteilung Schlösser und Sammlungen)
anette.froesch@gartenreich.de
Prof. Dr. Harald Meller (Kommissarischer Direktor und Vorstand)
+49 (0) 340 646 1540
sekretariat@gartenreich.de";https://www.lostart.de/de/Verlust/201631;
Suchmeldung;Einzelobjekt;418979;"Unbekannt (Porzellanmanufaktur Meissen) [Künstler:in]";Porzellanfiguren;;Kleinkunst;;"Zwei Porzellanfiguren; Putto mit Herz und Putto als Koch";"Sammlung Cramer, Clementine, geb. Fuld und David, Paris. Beschlagnahme in Paris 1942.";2010-08-09;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/418979;
Suchmeldung;Einzelobjekt;302192;"Zahn, Wilhelm [Künstler:in]";"Mosaikfußböden aus Pompeji";;Druckgrafik;"Stollsches Verzeichnis L. Nr. 272";"Mappe: Die schönsten Ornamente und merkwürdigsten Gemälde aus Pompeji, Herakulanum und Stabiae nach den an Ort gemachten Originalzeichnungen von Wilhelm ZahnDie in den Suchmeldungen angegebene Inventarnummer (Handschriftliches Verzeichnis) könnte sich rückseitig auf den Gemälden/Grafiken befinden.";"Henry Stollsche Kunstsammlung";2004-05-03;"Kunstsammlung Neubrandenburg
17033 Neubrandenburg
(0395) 5551290
(0395) 5551299
kunstsammlung@neubrandenburg.de
http://www.kunstsammlung-neubrandenburg.de
Frau Dr. Elke Pretzel (wiss. Mitarbeiterin)
(0395) 5551292
Frau Dr. Merete Cobarg (Direktorin)";https://www.lostart.de/de/Verlust/302192;
Suchmeldung;Einzelobjekt;444765;;"Die von dem Bader Hans Heinrich Kolbenschlag angebrachte Beschwerde wegen fremder Bader beschehener Eingriffe halber und welchergestalt er endlich ein Privilegium von fürstlicher Herrschaft erhalten";"1653-1679 [Dokumentdatum]";Archivgut;"Z 70, C 9h Nr. 122";;"ehemaliges Staatsarchiv Zerbst";2011-09-13;"Landeshauptarchiv
Sachsen-Anhalt
Brückstraße 2
39114 Magdeburg
+49 (0) 391 59806-0
+49 (0) 391 59806-600
poststelle@lha.mi.sachsen-anhalt.de
http://www.lha.sachsen-anhalt.de
Volkmar, Dr. Christoph (Koordinator Lost Art)
+49 (0) 391 59806 230
volkmar@lha.mi.sachsen-anhalt.de";https://www.lostart.de/de/Verlust/444765;
Suchmeldung;Einzelobjekt;303892;;"König Christoph III. von Dänemark bestätigt nach erfolgter Krönung die Belehnung Herzog Adolfs von Schleswig mit dem Herzogtum Schleswig (zeitgenössische Abschrift).";"1443-01-01 [Dokumentdatum]";"Urkunde / Faksimile";"10001 Ältere Urkunden, Nr. 6733";"Sprache: Deutsch; Beschreibstoff: Papier";"Herzöge von Sachsen; in Auslagerungsstelle Schloss Taubenheim verschollen
Auslagerung (Taubenheim, Schloss Taubenheim)";2004-05-13;"Sächsisches Staatsarchiv - 
Hauptstaatsarchiv Dresden
Archivstraße 14
01097 Dresden
01074 Dresden
Dr. Ute Essegern (Stellvertretende Abteilungsleiterin)
+49(0)351 89219-710
ute.essegern@sta.smi.sachsen.de
Prof. Dr. Peter Wiegand (Abteilungsleiter)
+49(0)351 89219-710
peter.wiegand@sta.smi.sachsen.de";https://www.lostart.de/de/Verlust/303892;
Fundmeldung;Einzelobjekt;589246;;"Polska wieków średnich : czyli Joachima Lelewela w dziejach narodowych polskich postrzeżenia ;; 3";;Buch;"R/ 32 VII B 38 : 3";"Stempel: Bücherei der Publikationsstelle; Zugangsnummer: Publikationsstelle Berlin-Dahlem: 433/44; wahrscheinlich NS-Raubgut";"Vorbesitzer: Publikationsstelle Berlin-Dahlem";2020-05-15;"Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft 
Forschungsbibliothek
Gisonenweg 5-7
35037 Marburg
+49 6421 184-202
+49 6421 184-139
mail@herder-institut.de
http://www.herder-institut.de";https://www.lostart.de/de/Fund/589246;
Fundmeldung;Einzelobjekt;448623;"Freund, Richard [Autor:in]
Guttentag [Verlag]";"Das Invalidenversicherungsgesetz vom 13. Juli 1899 : Handausgabe mit Anmerkungen nebst den Ausführungsverordnungen der Reichsbehörden ...";"1906 [Erscheinungsdatum]";Buch;"8 J GERM VI, 6067 [3]";"Weitere Informationen im Göttinger Universitätskatalog: Externer Link";"NS-Raubgut; Bezugsquelle: Bürgermeisteramt Verden; restituiert im Juni 2013Provenienz: Bürgermeisteramt VerdenZugang: 1936-02-01 / NS-RaubgutBürgermeisteramt <Verden>
Status
restituiert";2011-11-18;"Niedersächsische Staats- und 
Universitätsbibliothek Göttingen
Platz der Göttinger Sieben 1
37073 Göttingen
http://www.sub.uni-goettingen.de
Dr. Christian Fieseler (Leiter der Abt. Spezialsammlungen)
0551-3925280
fieseler@sub.uni-goettingen.de
Dr. Wilfried Enderle  (Fachreferat Geschichte)
0551-395200
enderle@sub.uni-goettingen.de";https://www.lostart.de/de/Fund/448623;
Suchmeldung;Einzelobjekt;444054;;"Die Wiederbesetzung des durch das Absterben des Hofmusikers Giel erledigten Türmerdienstes zu St. Bartholomaei Zerbst";"18. Jh. [Dokumentdatum]";Archivgut;"Z 89, Nr. 1315";;"ehemaliges Staatsarchiv Zerbst";2011-09-13;"Landeshauptarchiv
Sachsen-Anhalt
Brückstraße 2
39114 Magdeburg
+49 (0) 391 59806-0
+49 (0) 391 59806-600
poststelle@lha.mi.sachsen-anhalt.de
http://www.lha.sachsen-anhalt.de
Volkmar, Dr. Christoph (Koordinator Lost Art)
+49 (0) 391 59806 230
volkmar@lha.mi.sachsen-anhalt.de";https://www.lostart.de/de/Verlust/444054;
Fundmeldung;Einzelobjekt;465631;"Morin [Verlag]";"Codex diplomaticus Brandenburgensis : Sammlung der Urkunden, Chroniken und sonstigen Quellenschriften für die Geschichte der Mark Brandenburg und ihrer Regenten ; Haupttheil 2Urkunden-Sammlung zur Geschichte der auswärtigen Verhältnisse der Mark Brandenburg und ihrer Regenten ... ; Bd. 4";"1847 [Dokumentdatum]";Buch;"Ri 16628 - 2,4";"Weitere Informationen im Online-Katalog der Bibliothek der Berlin-Brandenburgischen Akademie der Wissenschaften: Externer Link";"Stempel: K. Pr. Ministerium f. Landwirthschaft, Dömanen u. Forsten, BibliothekStempel: Ministerium des Königl. Hauses, IIte AbtheilungStempel: Deutsche Akademie der Wissenschaften zu Berlin, BibliothekQuelle: Zugangsbuch Kauf 1953-1955 der Deutschen Akademie der Wissenschaften zu Berlin 1954/613, ""Dt. Buch-Export u. Import"", inventarisiert als Kauf 1954-10-08Verdacht auf NS-Raubgut";2013-02-11;"Bibliothek der Berlin-Brandenburgischen Akademie 
der Wissenschaften
Unter den Linden 8
10117 Berlin
(030) 20370487
(030) 20370476
http://bibliothek.bbaw.de
Dr. Marianne Seidig (Leiterin der Akademiebibliothek)
(030) 20370487
seidig@bbaw.de";https://www.lostart.de/de/Fund/465631;
Suchmeldung;Einzelobjekt;522185;"Gaul, August [Künstler:in]";Affe;;"Plastik / Skulptur";;;"Siegbert Stern und Margaretha Stern-Lippmann; Verlust Berlin oder Niederlande nach 1935; Verbleib unbekannt";2014-10-28;;https://www.lostart.de/de/Verlust/522185;
Suchmeldung;Einzelobjekt;450049;"Unbekannt (Französisch) [Künstler:in]";"Anbetung der drei Magier (Miniatur)";;"Plastik / Skulptur";;"Miniature francaise ""L'Adoration des trois Mages""";"Sammlung Paul Graupe Berlin/Paris; 1937 Beschlagnahme in Berlin";2011-12-21;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/450049;
Fundmeldung;Einzelobjekt;395682;"Schuchardt, Hugo [Herausgeber]
Verl. der Akademie der Wissenschaften [Verlag]";"Zur Kenntnis des Baskischen von Sara (Labourd); Baskisches 1876-1925 ; 9";"1922 [Erscheinungsdatum]";Buch;3C8559;"Kein Exlibris";"1941 verkauften die Wiener Romanistin, Prof. Dr. Elise Richter und ihre Schwester Dr. h. c. Helene Richter den größten Teil ihrer Bibliothek an die Universitäts- und Stadtbibliothek Köln. Es handelte sich im Wesentlichen um Bücher aus den Bereichen Romanistik, Sprach- und Literaturwissenschaft sowie Anglistik. Von 2235 Titeln konnten 535 im Bestand der USB Köln ermittelt werden. In einigen Büchern ist das Exlibris der Richter-Schwestern erhalten geblieben. Bei neu gebunden Büchern halfen Widmungen und Inventarnummernvergleich als Nachweis für den Richter-Besitz. Siehe auch: Externer Link
Status
restituiert";2007-10-19;"Universitätsstr. 33
50931 Köln
0221 470 3306
0221 470 5166
http://www.ub.uni-koeln.de
Christiane Hoffrath
hoffrath@ub.uni-koeln.de";https://www.lostart.de/de/Fund/395682;
Suchmeldung;Einzelobjekt;595748;"Unbekannt [Künstler:in]";Glaskasten;;Behältnis;;"ein Innungszeichen der Küfer enthaltend";"Olga Leonie v. Wassermann, 1935 Verlust aus der Wassermann-Villa Rottach/Egern, Verbleib unbekannt";2021-04-20;"Von Trott zu Solz - Lammek (Rechtsanwälte)
+49 (0)30 59 00 330 - 22
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/595748;"Landesarchiv Berlin, WGA Olga von Wassermann, Inventar des Rottacher Hauses (18.02.1956)"
Fundmeldung;Einzelobjekt;471500;;"Kant-Studien : philosophische Zeitschrift der Kant-Gesellschaft. - Berlin : de Gruyter, 1896- ; 39.1934";"1934 [Dokumentdatum]";Buch;"Z 657 - 39";"Weitere Informationen im Online-Katalog der Bibliothek der Berlin-Brandenburgischen Akademie der Wissenschaften: Externer Link";"Mit hs. Namenseintrag: NNStempel: Deutsche Akademie der Wissenschaften zu Berlin, BibliothekQuelle: Zugangsbuch Alle Erwerbungsarten der Deutschen Akademie der Wissenschaften zu Berlin 1956/265, ""Gloeckner & Niemann, Halle/S."", inventarisiert als Kauf 1956-03-21Verdacht auf NS-Raubgut";2013-03-06;"Bibliothek der Berlin-Brandenburgischen Akademie 
der Wissenschaften
Unter den Linden 8
10117 Berlin
(030) 20370487
(030) 20370476
http://bibliothek.bbaw.de
Dr. Marianne Seidig (Leiterin der Akademiebibliothek)
(030) 20370487
seidig@bbaw.de";https://www.lostart.de/de/Fund/471500;
Fundmeldung;Einzelobjekt;588911;"Hepprich, Ferdinand [Autor:in]
Krieger-Verein [Verlag]";"Erinnerungen des Kriegs-Veteranen von 1864, 1866, 1870/71 Ferdinand Hepprich aus Podasch";"[1926] [Erscheinungsdatum]";Buch;"S 3906";"Stempel: Bücherei der Geschäftsstelle Berlin des Deutschen Ostmarken-Vereins;NS-Raubgut";"Vorbesitzer: Deutscher Ostmarkenverein; Publikationsstelle Berlin-Dahlem";2020-05-15;"Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft 
Forschungsbibliothek
Gisonenweg 5-7
35037 Marburg
+49 6421 184-202
+49 6421 184-139
mail@herder-institut.de
http://www.herder-institut.de";https://www.lostart.de/de/Fund/588911;
Suchmeldung;Einzelobjekt;594774;;Bronzelampe;"1801/1900 [Datierung]";Beleuchtung;;;"Herbert M. Gutmann, Potsdam - Herbertshof; aus dessen Sammlung Auktion Paul Graupe 12.-14. April 1934, Los 681; Verbleib unbekannt";2021-03-23;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/594774;"Auktionskatalog Paul Graupe, Versteigerung 132, Sammlung Herbert M. Gutmann, Herbertshof bei Potsdam - Gemälde, meist aus dem 18. Jahrhundert, Möbel, Silber, Porzellan, Textilien, Alte syrische Gläser, Ostasiatische und islamische Kleinkunst, Berlin, 12.-14.04.1934"
Suchmeldung;Einzelobjekt;276728;;"Vortrag über die ""Tunnel-Zeiten"" vor der Tagung des Brandenburg. Museums- u. Geschichtsvereins.";;Archivgut;Z;"In: Märkische Ztg. Neuruppin 103. Jg., Nr. 127 v. 1930-06-02 (Beil.); Brandenburger Anzeiger 121. Jg., v. 1930-06-04";;2002-08-13;"Universität Potsdsam
Villa Quandt
Große Weinmeisterstr. 46/47
14469 Potsdam
+49 (0) 331 201396
+49 (0) 0331 2013970
fontanearchiv@uni-potsdam.de
http://www.fontanearchiv.de
Prof. Dr. Peer Trilcke  (Leiter des Theodor-Fontane-Archivs)
+49 (0) 331 201396
trilcke@uni-potsdam.de";https://www.lostart.de/de/Verlust/276728;
Fundmeldung;Einzelobjekt;588401;"Joseph Aulneau [Autor:in]";"Histoire de l'Europe centrale";;Buch;"3 VII A 37";"Stempel: Knihovna Ministerstva Zahraničních Věcí ; Stempel: Nord- und Ostdeutsche Forschungsgemeinschaft; Standortnummer auf dem Umschlag mit Tinte: F 10740; Zugangsnummer mit Tinte: 798/41 ; Zugangsnummer: Nord- und Ostdeutsche Forschungsgemeinschaft: 1180/28;NS-Raubgut";"Vorbesitzer: Knihovna Ministerstva Zahraničních Věcí ; Nord- und Ostdeutsche Forschungsgemeinschaft";2020-05-15;"Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft 
Forschungsbibliothek
Gisonenweg 5-7
35037 Marburg
+49 6421 184-202
+49 6421 184-139
mail@herder-institut.de
http://www.herder-institut.de";https://www.lostart.de/de/Fund/588401;
Suchmeldung;Einzelobjekt;88403;"Heinzmann, Carl Friedrich [Künstler:in]";"Alpenlandschaft mit Reiter";;Zeichnung;"Z 388";;"Verlust in Rübenau, 1942/1945
Auslagerung (Rübenau, Zollhäuser)";2001-08-08;"Kunstsammlungen Chemnitz
Theaterplatz 1
09111 Chemnitz
+49 (0) 371 488 4424 
+49 (0) 371 488 4499 
kunstsammlungen@stadt-chemnitz.de
http://www.kunstsammlungen-chemnitz.de
Anja Richter (Kuratorin im Museum Grunzenhauser)
+49 (0) 371 488 7000
anja.richter@stadt-chemnitz.de
Dr. Anika Reineke (Kuratorin der Textil- und Kunstgewerbesammlung)
+49 (0) 371 488 4405
anika.reineke@stadt-chemnitz.de
Dr. Sabine Maria Schmidt  (Kuratorin Sammlung Malerei und Plastik)
+49 (0) 371 488 4412
sabine-maria.schmidt@stadt-chemnitz.de
Kerstin Drechsel (Kuratorin der Grafischen Sammlung)
+49 (0) 371 488 4418
kerstin.drechsel@stadt-chemnitz.de";https://www.lostart.de/de/Verlust/88403;
Fundmeldung;Einzelobjekt;532049;"Unbekannt [Künstler:in]";Deckel;;"Kunsthandwerk / -gewerbe";"80/309 Fa";"Bemalung blau; ohne Markenzeichen";"seit 2008 Potsdam-Museum (Schenkung); zuvor: 2008 Erbengemeinschaft nach Lina Friedrichs (Restitution); 1956-2008 Potsdam-Museum; zuvor: 1942-1956 verpackt/magaziniert in einem Lagerraum auf dem Firmengrundstück Behlertstraße 29, Potsdam; zuvor: ca. 1933-1942 Lina Friedrichs, geb. Kaufmann (1856-1943), Potsdam; zuvor: bis ca. 1933 Paul Heiland (1870-1933), Potsdam; zuvor: unbekannt
Status
restituiert";2016-01-28;"Provenienzforschung, Hausarchiv, Bibliothek Potsdam-Museum - Forum für Kunst und Geschichte
Am Alten Markt 9
14467 Potsdam
+49(0)331 - 289 6821
+49(0)331 - 289 6808
museum-geschichte@rathaus.potsdam.de
http://www.potsdam.de/potsdam-museum";https://www.lostart.de/de/Fund/532049;
Suchmeldung;Einzelobjekt;391202;"Budko, Josef [Künstler:in]";"Graphische Mappe";;"Mappenwerk / Skizzenbuch";;"derzeit keine weiteren Angaben verfügbar";"Frankfurt (Main) / Umzugsgutbeschlagnahme Firma Fermont, 1942";2007-06-28;"von Trott zu Solz Lammek (Rechtsanwälte Notar)
+49 (0) 30 59 00 33 0-0
kanzlei@vontrott-lammek.de";https://www.lostart.de/de/Verlust/391202;
Suchmeldung;Einzelobjekt;594575;"Unbekannt [Künstler:in]";"Ein Paar Wandappliks";"1775/1800 [Datierung]";Möbel;;;"Herbert M. Gutmann, Potsdam - Herbertshof; aus dessen Sammlung Auktion Paul Graupe 12.-14. April 1934, Los 165; Verbleib unbekannt";2021-03-23;"Olaf S. Ossmann (Rechtsanwalt)
office@ossmann.ch";https://www.lostart.de/de/Verlust/594575;"Auktionskatalog Paul Graupe, Versteigerung 132, Sammlung Herbert M. Gutmann, Herbertshof bei Potsdam - Gemälde, meist aus dem 18. Jahrhundert, Möbel, Silber, Porzellan, Textilien, Alte syrische Gläser, Ostasiatische und islamische Kleinkunst, Berlin, 12.-14.04.1934"
Suchmeldung;Einzelobjekt;60755;"Hummel, Carl Maria Nicolaus [Künstler:in]";"Bäuerin vor einem Muttergottesbild";;Malerei;"GK I 613";;"Gemäldervorrat im Neuen Palais (P-NP-V).Park Sanssouci, Villa Illaire.";2001-08-08;"Stiftung Preußische Schlösser
und Gärten Berlin-Brandenburg
Gemäldesammlung
14469 Potsdam
14414 Potsdam
(0331) 96940
(0331) 9694307
schloesserdirektion@spsg.de
http://www.spsg.de
Dr. Samuel Wittwer (Direktor der Schlösser und Sammlungen)
+49 (0) 331 96 94 307
schloesserdirektion(at)spsg.de
Dr. Ulrike Schmiegelt-Rietig (Provenienzforschung)
+49 (0) 331 96 94 874
u.schmiegelt@spsg.de";https://www.lostart.de/de/Verlust/60755;"Stiftung Preußische Schlösser und Gärten, Zerstört, entführt, verschollen. Die Verluste der preußischen Schlösser im Zweiten Weltkrieg, Gemälde I, Potsdam 2004, S. 247"
Fundmeldung;Einzelobjekt;448315;"Hay, Ian [Autor:in]";"Paid with thanks";"1925 [Erscheinungsdatum]";Buch;"8 FAB IX, 3609";"Weitere Informationen im Göttinger Universitätskatalog: Externer Link";"NS-Raubgut; Bezugsquelle: Beschaffungsamt; Exlibris: Universitäts-Bibliothek zu Göttingen. Überwiesen von der Notgemeinschaft der deutschen Wissenschaft, Berlin; Notiz: Stalag XXI A/99; Notiz: VL (verbotene Literatur)Provenienz: BeschaffungsamtProvenienz: Notgemeinschaft der deutschen Wissenschaft, Berlin / ExlibrisNotiz: Stalag XXI A/99Notiz: VL (verbotene Literatur)Zugang: 1943-06-24 / NS-RaubgutBeschaffungsamt";2011-11-18;"Niedersächsische Staats- und 
Universitätsbibliothek Göttingen
Platz der Göttinger Sieben 1
37073 Göttingen
http://www.sub.uni-goettingen.de
Dr. Christian Fieseler (Leiter der Abt. Spezialsammlungen)
0551-3925280
fieseler@sub.uni-goettingen.de
Dr. Wilfried Enderle  (Fachreferat Geschichte)
0551-395200
enderle@sub.uni-goettingen.de";https://www.lostart.de/de/Fund/448315;
Fundmeldung;Einzelobjekt;465145;"Ludendorff, Mathilde [Autor:in]
Ludendorff [Verlag]";"Der Seele Wirken und Gestalten ; Teil 1. Des Kindes Seele und der Eltern Amt";"1938 [Dokumentdatum]";Buch;"NS 28 - 1";"Weitere Informationen im Online-Katalog der Bibliothek der Berlin-Brandenburgischen Akademie der Wissenschaften: Externer Link";"Stempel: Der Schulrat des Schulkreises 7, BerlinAkzessions-Nr. 11430Verdacht auf NS-Raubgut";2013-02-11;"Bibliothek der Berlin-Brandenburgischen Akademie 
der Wissenschaften
Unter den Linden 8
10117 Berlin
(030) 20370487
(030) 20370476
http://bibliothek.bbaw.de
Dr. Marianne Seidig (Leiterin der Akademiebibliothek)
(030) 20370487
seidig@bbaw.de";https://www.lostart.de/de/Fund/465145;
Suchmeldung;Einzelobjekt;293281;"Terebeneff, Michail Iwanowitsch [Künstler:in]";"Bildnis eines jungen Mannes";"1830 [Datierung]";Malerei;"155 kleines russisches sh, kleines russisches r, k";"Gemälde; Miniatur";;2003-10-13;"Zhon Myronosyts Str. 11 (Жон Мироносиць 11)
61002 Kharkiv Oblast
+38 (256) 706-33-95 
artmuseum_kharkiv@i.ua
http://artmuseum.kh.ua/
Valentina V. Mizgina (Валентина Василівна Мизгіна)  (Direktorin (Директор))
+38 (057) 706 33 95
artmuseum_kharkiv@i.ua";https://www.lostart.de/de/Verlust/293281;
Suchmeldung;Einzelobjekt;206353;"K. W. Kardisch [Autor:in]";"Über die prosodischen Grundsätze und deren Einfluß in die reimfreie Dichtkunst.";"1796 [Erscheinungsdatum]";Buch;"C 4784";;"Status
restituiert";2001-08-08;"Gleimhaus
Literaturmuseum
Domplatz 31
38820 Halberstadt
(03941) 68710
(03941) 687140
gleimhaus@halberstadt.de
http://www.gleimhaus.de
Lacher, Dr. Reimar (Kunstsammlung)
+49 (0)39 41.68 710
gleimhaus@halberstadt.de
Loose, Annegret (Bibliothekarin)
+49 (0)3941.68710
gleimhaus@halberstadt.de
Pott, Dr. Ute (Direktorin)
+49 (0)3941.68710
gleimhaus@halberstadt.de";https://www.lostart.de/de/Verlust/206353;
